Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
93,4203207692,kkatamneni0628 (11/20),0,343.5,C Victor Wembanyama F Jayson Tatum G Payton Pritchard PF Oshae Brissett PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Cam Thomas,,Goga Bitadze,UTIL,0.03%,1.25
93,4203566050,valintino85 (8/16),0,343.5,C Victor Wembanyama F Mikal Bridges G Payton Pritchard PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Justin Champagnie UTIL Jordan Poole,,Jacob Gilyard,UTIL,0.03%,0
93,4203630251,mrdre47 (6/7),0,343.5,C Victor Wembanyama F Sam Hauser G Payton Pritchard PF Jayson Tatum PG Devin Vassell SF Keldon Johnson SG Justin Champagnie UTIL Jontay Porter,,Sandro Mamukelashvili,F,0.02%,0
93,4203711749,chicksdigthewongball (10/20),0,343.5,C Victor Wembanyama F Mikal Bridges G Payton Pritchard PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Jordan Poole UTIL Justin Champagnie,,Keita Bates-Diop,PF,0.02%,0
93,4203930200,huskerdoc (10/20),0,343.5,C Victor Wembanyama F Mikal Bridges G Payton Pritchard PF Jayson Tatum PG Jared Butler SF Sam Hauser SG Justin Champagnie UTIL Jordan Poole,,Landry Shamet,G,0.02%,0
93,4203945910,Airborntrey (12/20),0,343.5,C Victor Wembanyama F Mikal Bridges G Jared Butler PF Jayson Tatum PG Payton Pritchard SF Sam Hauser SG Justin Champagnie UTIL Jordan Poole,,Devonte' Graham,G,0.02%,0
99,4203157755,Frrststhl (1/20),0,343.25,C Richaun Holmes F Jalen Johnson G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Victor Wembanyama,,Trent Forrest,UTIL,0.01%,7.75
99,4203258154,cb_hanson (3/20),0,343.25,C Richaun Holmes F Jalen Johnson G Justin Champagnie PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Jordan Poole UTIL Victor Wembanyama,,Jordan Walsh,UTIL,0.01%,0
99,4203406703,Jantzens (10/11),0,343.25,C Richaun Holmes F Jalen Johnson G Jordan Poole PF Patrick Baldwin Jr. PG Payton Pritchard SF Jayson Tatum SG Justin Champagnie UTIL Victor Wembanyama,,Dominick Barlow,UTIL,0.01%,0
99,4203429794,fromyou6,0,343.25,C Victor Wembanyama F Patrick Baldwin Jr. G Payton Pritchard PF Jalen Johnson PG Jordan Poole SF Jayson Tatum SG Justin Champagnie UTIL Richaun Holmes,,Kevon Harris,SF,0.01%,0
